Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,age,device,gender,education,projectID,startedAt,computerID,assignmentID,yearOfBirth,participantID,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,How satisfied are you with life as a whole these days? (ql4c1ak),How enjoyable is your life as a whole these days? (dzyh760),How enjoyable do you expect tomorrow to be? (vxuitd6),"Imagine I gave you a ""SKIP TOMORROW"" button. When pressed, this button would cause you to be instantly transported 24 hours into the future. You still do all the things you would normally do (so nobody else can tell any difference), and remember the day normally, you just don't experience it. Would you press this button to skip tomorrow? (kp5en44)",What level of expected enjoyment do you think would be your threshold for pressing the button? (29r635n),buttontext,finished,project_id,assignment_id,participant_id,url
7029395,4,2022-02-02 00:43:18,0.38,rl4pf73,0,32,desktop,male,completedBachelorsDegree,7ff6682a,2022/02/01 04:40 PM,940c06078a646e33139f5a31bd47fbdf3f8f0805,f968ab00,1989,83c061d7,5,United States,"$25,000 to $39,999",0,2,32500,7,8,8,Yes,9,Click to finish and give feedback,1,7ff6682a,f968ab00,83c061d7,https://app.positly.com/#/f?task_id=7ff6682a
7029398,4,2022-02-02 00:44:00,0.32,rl4pf73,0,26,desktop,male,completedOnlyHighSchoolOrTheEquivalent,7ff6682a,2022/02/01 04:40 PM,3e1d742cf8b876b32132b8913eacffa48e0e56d5,56d481b9,1995,02396a1e,2,United States,"$25,000 to $39,999",0,2,32500,9,8,8,No,2,Click to finish and give feedback,1,7ff6682a,56d481b9,02396a1e,https://app.positly.com/#/f?task_id=7ff6682a
7029412,4,2022-02-02 00:46:31,0.37,rl4pf73,0,29,desktop,male,completedBachelorsDegree,7ff6682a,2022/02/01 04:40 PM,f8e569475744500a905242dd04a63ee665f9b469,5776f1f1,1993,057ade9f,5,United States,"$60,000 to $84,999",0,4,72500,7,6,6,No,2,Click to finish and give feedback,1,7ff6682a,5776f1f1,057ade9f,https://app.positly.com/#/f?task_id=7ff6682a
7029426,4,2022-02-02 00:49:04,0.52,rl4pf73,0,24,desktop,male,completedAssociateDegreeOnly,7ff6682a,2022/02/01 04:48 PM,5343e96a8cb795276cab6c98efe93b99b92f7785,f9ec5c7d,1998,7d95d628,4,United States,"$25,000 to $39,999",0,2,32500,7,5,9,Yes,7,Click to finish and give feedback,1,7ff6682a,f9ec5c7d,7d95d628,https://app.positly.com/#/f?task_id=7ff6682a
7029427,4,2022-02-02 00:48:30,0.35,rl4pf73,0,39,desktop,female,completedBachelorsDegree,7ff6682a,2022/02/01 04:48 PM,68fc587809cf5282202d5d9f057155afcf8a6466,fedbe909,1982,f5d9e701,5,United States,"$40,000 to $59,999",1,3,50000,7,7,8,No,6,Click to finish and give feedback,1,7ff6682a,fedbe909,f5d9e701,https://app.positly.com/#/f?task_id=7ff6682a
7029431,4,2022-02-02 00:50:05,0.55,rl4pf73,0,33,desktop,female,completedOnlyHighSchoolOrTheEquivalent,7ff6682a,2022/02/01 04:49 PM,20d7d4b334d2bad069d1f7fc0093ff25184f9ca3,107d1e7b,1988,630f7017,2,United States,"$25,000 to $39,999",1,2,32500,6,6,5,No,3,Click to finish and give feedback,1,7ff6682a,107d1e7b,630f7017,https://app.positly.com/#/f?task_id=7ff6682a
7029444,4,2022-02-02 00:53:32,0.47,rl4pf73,0,31,desktop,male,completedAssociateDegreeOnly,7ff6682a,2022/02/01 04:53 PM,71147cb8147667126c05a3b6fd8977d88bbc796a,ea0ef4d9,1990,75755d8e,4,United States,"$25,000 to $39,999",0,2,32500,3,2,0,Yes,7,Click to finish and give feedback,1,7ff6682a,ea0ef4d9,75755d8e,https://app.positly.com/#/f?task_id=7ff6682a
7029458,4,2022-02-02 00:58:30,0.62,rl4pf73,0,48,desktop,female,completedBachelorsDegree,7ff6682a,2022/02/01 04:58 PM,ce76ceba5301716d71690bac1895d0eb146241c3,3e148461,1973,df7bf56c,5,United States,"$40,000 to $59,999",1,3,50000,1,1,1,Yes,1,Click to finish and give feedback,1,7ff6682a,3e148461,df7bf56c,https://app.positly.com/#/f?task_id=7ff6682a
7029477,4,2022-02-02 01:01:48,0.3,rl4pf73,0,27,desktop,female,completedMastersDegree,7ff6682a,2022/02/01 05:01 PM,11958f54784bf0d41c6bbd80a3ab5ef1c10084de,f9efc590,1995,57ed01f1,6,United States,"$25,000 to $39,999",1,2,32500,7,7,10,Yes,10,Click to finish and give feedback,1,7ff6682a,f9efc590,57ed01f1,https://app.positly.com/#/f?task_id=7ff6682a
7029480,4,2022-02-02 01:02:20,0.27,rl4pf73,0,36,desktop,male,completedTradeTechicalVocationalTraing,7ff6682a,2022/02/01 05:01 PM,e5d316de1f621260f92f70d9bc6b91b00081ee84,202578a5,1986,688a1d10,3,United States,"$40,000 to $59,999",0,3,50000,7,7,7,No,7,Click to finish and give feedback,1,7ff6682a,202578a5,688a1d10,https://app.positly.com/#/f?task_id=7ff6682a
